Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
input/resources/mp-MedicationAgreement.xml	33280	30	0	205	0	0	0	0	1	176	0	0	1	0	0	0	0	3	0	0	3	589	2316	0	5	0	34	1	6
input/resources/mp-MedicationDispense.xml	18363	32	0	134	1	0	0	0	2	63	0	0	0	0	0	0	0	1	0	0	3	345	987	0	3	0	57	0	4
input/resources/mp-MedicationOverview-Bundle.xml	4130	19	0	203	1	0	0	0	0	37	0	0	0	0	0	0	0	1	0	0	1	291	673	0	1	0	16	0	4
input/resources/mp-MedicationOverview.xml	17532	31	0	29	1	0	0	0	1	105	0	0	1	0	0	0	0	1	0	0	1	426	884	0	2	0	20	0	4
input/resources/mp-MedicationPrescription-Bundle.xml	9824	21	0	328	1	0	0	0	1	94	0	0	1	0	0	0	0	3	0	0	1	1174	1530	0	6	0	51	1	12
input/resources/mp-MedicationPrescriptionProcessing-Bundle.xml	7173	19	0	171	0	0	0	0	1	67	0	0	0	0	0	0	0	2	0	0	1	583	1503	0	2	0	34	0	7
input/resources/mp-MedicationUse2.xml	37337	38	0	291	1	0	0	0	2	138	0	0	1	0	0	0	0	3	0	0	3	662	1005	0	7	0	37	1	7
input/resources/mp-PharmaceuticalProduct.xml	17271	27	0	42	0	0	0	0	0	62	0	0	0	0	0	0	0	1	0	0	5	212	349	0	2	0	9	0	1
input/resources/mp-ProposalDispenseRequest-Bundle.xml	15512	26	0	727	1	0	0	0	1	85	0	0	1	0	0	0	0	3	0	0	2	688	1316	0	6	0	39	1	8
input/resources/mp-ProposalMedicationAgreement-Bundle.xml	17452	23	0	451	0	0	0	0	1	216	0	0	1	0	0	0	0	3	0	0	1	829	1683	0	7	0	42	0	9
input/resources/mp-ReplyProposalDispenseRequest-Bundle.xml	6401	13	0	350	1	0	0	0	1	152	0	0	1	0	0	0	0	2	0	0	1	611	932	0	4	0	28	1	7
input/resources/mp-ReplyProposalDispenseRequest.xml	11154	16	0	27	0	0	0	0	1	72	0	0	1	0	0	0	0	1	0	0	2	220	468	0	2	0	8	0	2
input/resources/mp-ReplyProposalMedicationAgreement-Bundle.xml	6441	13	0	649	1	0	0	0	0	89	0	0	1	0	0	0	0	2	0	0	0	546	1230	0	4	0	31	1	7
input/resources/mp-ReplyProposalMedicationAgreement.xml	11205	15	0	37	1	0	0	0	2	50	0	0	0	0	0	0	0	1	0	0	2	212	361	0	2	0	11	0	2
input/resources/mp-VariableDosingRegimen.xml	28316	23	0	280	0	0	0	0	1	97	0	0	0	0	0	0	0	1	0	0	4	517	760	0	5	0	21	1	4
/input/includes/menu.xml	178	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
/input/pages/index.md	30	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pages	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pages/index.md	30	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	30915	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
